Channel,Phase,ADC,TOT_10bit,TOT_12bit,ToA
4,15,0,0,0,0
4,0,233,0,0,0
4,1,234,0,0,0
4,2,233,0,0,0
4,3,230,0,0,0
4,4,226,0,0,0
4,5,236,0,0,0
4,6,234,0,0,0
4,7,229,0,0,0
4,8,228,0,0,0
4,9,232,0,0,0
4,10,232,0,0,0
4,11,226,0,0,0
4,12,228,0,0,0
4,13,231,0,0,0
4,14,224,0,0,0
4,15,0,0,0,0
4,0,229,0,0,0
4,1,232,0,0,0
4,2,230,0,0,0
4,3,228,0,0,0
4,4,224,0,0,0
4,5,235,0,0,0
4,6,231,0,0,0
4,7,0,0,0,0
4,8,0,0,0,0
4,9,0,0,0,0
4,10,0,0,0,0
4,11,0,0,0,0
4,12,0,0,0,0
4,13,0,0,0,0
4,14,0,0,0,0
4,15,0,0,0,0
4,0,0,0,0,0
4,1,0,0,0,0
4,2,0,0,0,0
4,3,0,0,0,0
4,4,0,0,0,0
4,5,0,0,0,0
4,6,0,0,0,0
5,7,60,0,0,0
5,8,59,0,0,0
5,9,59,0,0,0
5,10,57,0,0,0
5,11,61,0,0,0
5,12,59,0,0,0
5,13,58,0,0,0
5,14,60,0,0,0
5,15,0,0,0,0
5,0,57,0,0,0
5,1,57,0,0,0
5,2,60,0,0,0
5,3,56,0,0,0
5,4,56,0,0,0
5,5,55,0,0,0
5,6,60,0,0,0
5,7,68,0,0,0
5,8,83,0,0,0
5,9,120,0,0,0
5,10,54,0,0,0
5,11,255,0,0,0
5,12,336,0,0,0
5,13,276,0,0,0
5,14,458,0,0,0
5,15,0,0,0,0
5,0,511,0,0,0
5,1,504,0,0,0
5,2,490,0,0,0
5,3,461,0,0,0
5,4,423,0,0,0
5,5,382,0,0,0
5,6,62,0,0,0
5,7,309,0,0,0
5,8,276,62,62,775
5,9,241,60,60,704
5,10,213,62,62,128
5,11,195,195,195,580
5,12,47,211,211,517
5,13,32,192,192,448
5,14,21,192,192,393
5,15,0,0,0,0
5,0,4,192,192,263
5,1,127,188,188,192
5,2,124,193,193,6
5,3,114,191,191,69
5,4,112,190,190,7
5,5,105,182,182,972
5,6,351,0,0,0
5,7,104,192,192,836
5,8,64,0,0,0
5,9,101,0,0,0
5,10,70,0,0,0
5,11,102,0,0,0
5,12,100,0,0,0
5,13,98,0,0,0
5,14,97,0,0,0
5,15,0,0,0,0
5,0,96,0,0,0
5,1,96,0,0,0
5,2,92,0,0,0
5,3,90,0,0,0
5,4,89,0,0,0
5,5,85,0,0,0
5,6,112,192,192,904
5,7,85,0,0,0
5,8,88,0,0,0
5,9,86,0,0,0
5,10,86,0,0,0
5,11,81,0,0,0
5,12,86,0,0,0
5,13,84,0,0,0
5,14,83,0,0,0
5,15,0,0,0,0
5,0,86,0,0,0
5,1,85,0,0,0
5,2,84,0,0,0
5,3,81,0,0,0
5,4,80,0,0,0
5,5,79,0,0,0
5,6,93,0,0,0
5,7,80,0,0,0
5,8,80,0,0,0
5,9,79,0,0,0
5,10,80,0,0,0
5,11,81,0,0,0
5,12,77,0,0,0
5,13,78,0,0,0
5,14,80,0,0,0
5,15,0,0,0,0
5,0,79,0,0,0
5,1,77,0,0,0
5,2,76,0,0,0
5,3,77,0,0,0
5,4,76,0,0,0
5,5,72,0,0,0
5,6,84,0,0,0
5,7,71,0,0,0
5,8,65,0,0,0
5,9,72,0,0,0
5,10,66,0,0,0
5,11,77,0,0,0
5,12,72,0,0,0
5,13,65,0,0,0
5,14,74,0,0,0
5,15,0,0,0,0
5,0,65,0,0,0
5,1,64,0,0,0
5,2,69,0,0,0
5,3,72,0,0,0
5,4,72,0,0,0
5,5,67,0,0,0
5,6,80,0,0,0
5,7,66,0,0,0
5,8,69,0,0,0
5,9,69,0,0,0
5,10,64,0,0,0
5,11,73,0,0,0
5,12,67,0,0,0
5,13,68,0,0,0
5,14,69,0,0,0
5,15,0,0,0,0
5,0,64,0,0,0
5,1,70,0,0,0
5,2,68,0,0,0
5,3,67,0,0,0
5,4,70,0,0,0
5,5,68,0,0,0
5,6,64,0,0,0
5,7,64,0,0,0
5,8,65,0,0,0
5,9,68,0,0,0
5,10,69,0,0,0
5,11,64,0,0,0
5,12,0,0,0,0
5,13,64,0,0,0
5,14,69,0,0,0
5,15,0,0,0,0
5,0,68,0,0,0
5,1,67,0,0,0
5,2,65,0,0,0
5,3,64,0,0,0
5,4,66,0,0,0
5,5,64,0,0,0
5,6,68,0,0,0
5,7,63,0,0,0
5,8,64,0,0,0
5,9,64,0,0,0
5,10,64,0,0,0
5,11,69,0,0,0
5,12,65,0,0,0
5,13,63,0,0,0
5,14,64,0,0,0
5,15,0,0,0,0
5,0,66,0,0,0
5,1,66,0,0,0
5,2,65,0,0,0
5,3,63,0,0,0
5,4,63,0,0,0
5,5,62,0,0,0
5,6,66,0,0,0
5,7,0,0,0,0
5,8,0,0,0,0
5,9,0,0,0,0
5,10,0,0,0,0
5,11,0,0,0,0
5,12,0,0,0,0
5,13,0,0,0,0
5,14,0,0,0,0
5,15,0,0,0,0
5,0,0,0,0,0
5,1,0,0,0,0
5,2,0,0,0,0
5,3,0,0,0,0
5,4,0,0,0,0
5,5,0,0,0,0
5,6,0,0,0,0
6,7,28,0,0,0
6,8,27,0,0,0
6,9,28,0,0,0
6,10,25,0,0,0
6,11,25,0,0,0
6,12,24,0,0,0
6,13,28,0,0,0
6,14,152,0,0,0
6,15,0,0,0,0
6,0,29,0,0,0
6,1,24,0,0,0
6,2,19,0,0,0
6,3,27,0,0,0
6,4,24,0,0,0
6,5,160,0,0,0
6,6,24,0,0,0
6,7,43,0,0,0
6,8,63,0,0,0
6,9,244,0,0,0
6,10,315,0,0,0
6,11,270,0,0,0
6,12,484,0,0,0
6,13,48,0,0,0
6,14,98,0,0,0
6,15,0,0,0,0
6,0,22,0,0,0
6,1,519,0,0,0
6,2,625,0,0,0
6,3,83,0,0,0
6,4,554,0,0,0
6,5,518,0,0,0
6,6,160,0,0,0
6,7,266,320,320,765
6,8,390,327,327,707
6,9,326,321,321,641
6,10,327,327,327,580
6,11,271,342,342,515
6,12,285,336,336,445
6,13,272,334,334,382
6,14,252,326,326,325
6,15,0,0,0,0
6,0,237,320,320,195
6,1,227,323,323,132
6,2,220,320,320,66
6,3,220,348,348,1022
6,4,221,326,326,964
6,5,219,337,337,890
6,6,468,0,0,0
6,7,211,0,0,0
6,8,206,0,0,0
6,9,208,0,0,0
6,10,205,0,0,0
6,11,202,0,0,0
6,12,205,0,0,0
6,13,202,0,0,0
6,14,197,0,0,0
6,15,0,0,0,0
6,0,192,0,0,0
6,1,62,0,0,0
6,2,62,0,0,0
6,3,194,0,0,0
6,4,195,0,0,0
6,5,196,0,0,0
6,6,212,327,327,834
6,7,63,0,0,0
6,8,190,0,0,0
6,9,63,0,0,0
6,10,61,0,0,0
6,11,56,0,0,0
6,12,193,0,0,0
6,13,63,0,0,0
6,14,57,0,0,0
6,15,0,0,0,0
6,0,188,0,0,0
6,1,182,0,0,0
6,2,52,0,0,0
6,3,186,0,0,0
6,4,57,0,0,0
6,5,56,0,0,0
6,6,60,0,0,0
6,7,56,0,0,0
6,8,52,0,0,0
6,9,53,0,0,0
6,10,50,0,0,0
6,11,49,0,0,0
6,12,55,0,0,0
6,13,56,0,0,0
6,14,177,0,0,0
6,15,0,0,0,0
6,0,52,0,0,0
