Channel,Amplitude,mean,std
106,600,-100.0,
107,100,-100.0,
107,200,-100.0,
107,300,-100.0,
107,400,-100.0,
107,500,-100.0,
107,600,-100.0,
108,100,-100.0,
108,200,-100.0,
108,300,-100.0,
108,400,-100.0,
108,500,-100.0,
108,600,-100.0,
109,100,-100.0,
109,200,-100.0,
109,300,-100.0,
109,400,-100.0,
109,500,-100.0,
109,600,-100.0,
110,100,-100.0,
110,200,-100.0,
110,300,-100.0,
110,400,-100.0,
110,500,-100.0,
110,600,-100.0,
111,100,-100.0,
111,200,-100.0,
111,300,-100.0,
111,400,-100.0,
111,500,-100.0,
111,600,-100.0,
112,100,-100.0,
112,200,-100.0,
112,300,-100.0,
112,400,-100.0,
112,500,-100.0,
112,600,-100.0,
113,100,-100.0,
113,200,-100.0,
113,300,-100.0,
113,400,-100.0,
113,500,-100.0,
113,600,-100.0,
114,100,-100.0,
114,200,-100.0,
114,300,-100.0,
114,400,-100.0,
114,500,-100.0,
114,600,-100.0,
115,100,109.0,
115,200,261.0,
115,300,433.0,
115,400,620.0,
115,500,820.0,
115,600,923.0,
116,100,108.0,
116,200,257.0,
116,300,430.0,
116,400,620.0,
116,500,828.0,
116,600,923.0,
117,100,121.0,
117,200,278.0,
117,300,455.0,
117,400,646.0,
117,500,854.0,
117,600,923.0,
118,100,113.0,
118,200,266.0,
118,300,434.0,
118,400,625.0,
118,500,825.0,
118,600,923.0,
119,100,-100.0,
119,200,-100.0,
119,300,-100.0,
119,400,-100.0,
119,500,-100.0,
119,600,-100.0,
120,100,-100.0,
120,200,-100.0,
120,300,-100.0,
120,400,-100.0,
120,500,-100.0,
120,600,-100.0,
121,100,-100.0,
121,200,-100.0,
121,300,-100.0,
121,400,-100.0,
121,500,-100.0,
121,600,-100.0,
122,100,-100.0,
122,200,-100.0,
122,300,-100.0,
122,400,-100.0,
122,500,-100.0,
122,600,-100.0,
123,100,-100.0,
123,200,-100.0,
123,300,-100.0,
123,400,-100.0,
123,500,-100.0,
123,600,-100.0,
124,100,-100.0,
124,200,-100.0,
124,300,-100.0,
124,400,-100.0,
124,500,-100.0,
124,600,-100.0,
125,100,-100.0,
125,200,-100.0,
125,300,-100.0,
125,400,-100.0,
125,500,-100.0,
125,600,-100.0,
126,100,-100.0,
126,200,-100.0,
126,300,-100.0,
126,400,-100.0,
126,500,-100.0,
126,600,-100.0,
127,100,-100.0,
127,200,-100.0,
127,300,-100.0,
127,400,-100.0,
127,500,-100.0,
127,600,-100.0,
128,100,-100.0,
128,200,-100.0,
128,300,-100.0,
128,400,-100.0,
128,500,-100.0,
128,600,-100.0,
129,100,-100.0,
129,200,-100.0,
129,300,-100.0,
129,400,-100.0,
129,500,-100.0,
129,600,-100.0,
130,100,-100.0,
130,200,-100.0,
130,300,-100.0,
