Channel,Time,Phase,ADC,TOT,ToA
20,37.5,7,102,0,0
20,39.0625,7,101,0,0
20,62.5,7,104,0,0
20,64.0625,7,102,0,0
20,87.5,7,155,0,0
20,89.0625,7,165,0,0
20,112.5,7,141,0,768
20,114.0625,7,141,0,733
20,137.5,7,118,0,0
20,139.0625,7,119,0,0
20,162.5,7,111,0,0
20,164.0625,7,113,0,0
20,187.5,7,109,0,0
20,189.0625,7,109,0,0
20,212.5,7,107,0,0
20,214.0625,7,109,0,0
20,237.5,7,106,0,0
20,239.0625,7,108,0,0
21,12.5,7,98,0,0
21,14.0625,7,98,0,0
21,37.5,7,98,0,0
21,39.0625,7,97,0,0
21,62.5,7,99,0,0
21,64.0625,7,99,0,0
21,87.5,7,157,0,0
21,89.0625,7,164,0,0
21,112.5,7,142,0,768
21,114.0625,7,138,0,737
21,137.5,7,116,0,0
21,139.0625,7,117,0,0
21,162.5,7,110,0,0
21,164.0625,7,109,0,0
21,187.5,7,107,0,0
21,189.0625,7,106,0,0
21,212.5,7,106,0,0
21,214.0625,7,102,0,0
21,237.5,7,101,0,0
21,239.0625,7,102,0,0
22,12.5,7,101,0,0
22,14.0625,7,100,0,0
22,37.5,7,101,0,0
22,39.0625,7,100,0,0
22,62.5,7,101,0,0
22,64.0625,7,101,0,0
22,87.5,7,154,0,0
22,89.0625,7,167,0,0
22,112.5,7,143,0,768
22,114.0625,7,141,0,722
22,137.5,7,117,0,0
22,139.0625,7,118,0,0
22,162.5,7,111,0,0
22,164.0625,7,112,0,0
22,187.5,7,110,0,0
22,189.0625,7,109,0,0
22,212.5,7,108,0,0
22,214.0625,7,106,0,0
22,237.5,7,106,0,0
22,239.0625,7,104,0,0
23,12.5,7,99,0,0
23,14.0625,7,100,0,0
23,37.5,7,99,0,0
23,39.0625,7,100,0,0
23,62.5,7,98,0,0
23,64.0625,7,100,0,0
23,87.5,7,152,0,0
23,89.0625,7,165,0,0
23,112.5,7,141,0,768
23,114.0625,7,138,0,725
23,137.5,7,116,0,0
23,139.0625,7,115,0,0
23,162.5,7,110,0,0
23,164.0625,7,109,0,0
23,187.5,7,107,0,0
23,189.0625,7,107,0,0
23,212.5,7,104,0,0
23,214.0625,7,104,0,0
23,237.5,7,104,0,0
23,239.0625,7,102,0,0
24,12.5,7,103,0,0
24,14.0625,7,104,0,0
24,37.5,7,106,0,0
24,39.0625,7,104,0,0
24,62.5,7,105,0,0
24,64.0625,7,105,0,0
24,87.5,7,159,0,0
24,89.0625,7,168,0,0
24,112.5,7,146,0,768
24,114.0625,7,143,0,733
24,137.5,7,121,0,0
24,139.0625,7,121,0,0
24,162.5,7,115,0,0
24,164.0625,7,114,0,0
